date,price
2017-09-08,82.06785810266058
2017-09-09,82.13175584834633
2017-09-10,76.64639699973212
2017-09-11,76.56615097359295
2017-09-12,76.22361574382921
2017-09-13,74.99771259418729
2017-09-14,73.94392523364486
2017-09-15,79.09376296501175
2017-09-16,79.62238436123349
2017-09-17,75.10509814612868
2017-09-18,75.1085570023917
2017-09-19,74.72488735754042
2017-09-20,75.08317929759704
2017-09-21,75.07066296149266
2017-09-22,80.71424774056354
2017-09-23,80.88569909622541
2017-09-24,75.28955738139412
2017-09-25,75.24172054360734
2017-09-26,75.54546650875115
2017-09-27,75.6265930889502
2017-09-28,75.70998017184402
2017-09-29,80.95684504049927
2017-09-30,81.31558733942524
2017-10-01,77.75387079551521
2017-10-02,77.03546193840822
2017-10-03,77.23887929889788
2017-10-04,77.17764206054169
